name,category,lat,long,img,description
Тайницкая башня,"towers,architecture,fortifications,historic,interesting_places,other_towers,fortified_towers",56.327576,43.997246,,
Усадьба Левашовых в селе Галибиха,"biographical_museums,architecture,museums,archaeological_museums,manor_houses,open_air_museums,historic_architecture,cultural,interesting_places,history_museums",56.752377,45.628487,,
Шуховская башня,"towers,architecture,interesting_places,other_towers",56.193382,43.543724,,
Покровская церковь,"religion,monasteries,interesting_places",55.980915,43.60281,,
Покровский монастырь,"religion,monasteries,interesting_places",56.489647,43.614887,,
Монумент героям Волжской военной флотилии,"historic,monuments_and_memorials,interesting_places,monuments",56.329079,43.988407,,
Гарнизонная казарма,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",56.327614,44.004299,,
Памятник жертвам и мученикам революции 1905 года,"historic,monuments_and_memorials,interesting_places,monuments",56.316841,44.01601,,
Успенский монастырь,"religion,monasteries,interesting_places",57.39661,43.91946,,
Львовка,"historic,historical_places,interesting_places,historic_settlements",54.931278,45.315228,,
Дзержинский театр кукол,"puppetries,cultural,theatres_and_entertainments,interesting_places,music_venues",56.235676,43.466766,,
Домик Петра I,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",56.325508,43.994991,,
Арзамасский музей Русского Патриаршества,"cultural,museums,interesting_places,history_museums",55.386269,43.81538,,
Государственный центральный банк,"architecture,historic_architecture,interesting_places,banks,bank,tourist_facilities,other_buildings_and_structures",56.32003,43.998787,,
Экспозиция «Подвиг народного единства»,"towers,architecture,cultural,museums,interesting_places,other_museums,other_towers",56.329956,43.999737,,
Усадьба Рукавишниковых,"biographical_museums,architecture,historic_architecture,cultural,museums,interesting_places,manor_houses",56.329319,44.016083,,
Театр оперы и балета,"cultural,theatres_and_entertainments,interesting_places,music_venues,opera_houses",56.315525,44.017212,,
Львовка,"historic,historical_places,interesting_places,historic_districts,historic_settlements",54.932076,45.314434,,
Обелиск Минину и Пожарскому,"historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments",56.32901,44.00243,,
Церковь Владимирской иконы Божией Матери,"religion,churches,interesting_places,other_churches",55.383739,43.815952,,
Церковь Знамения Божией Матери и святых Жен-Мироносиц,"religion,churches,interesting_places,eastern_orthodox_churches",56.324314,43.995018,,
Покровская церковь,"religion,churches,monasteries,interesting_places,eastern_orthodox_churches",56.489681,43.61488,,
Ивановская башня,"towers,architecture,fortifications,historic,cultural,museums,interesting_places,other_museums,other_towers,fortified_towers",56.329887,43.999634,,
Нижегородский острог,"cultural,museums,interesting_places,museums_of_science_and_technology,history_museums,other_technology_museums",56.317223,44.017006,,
Кутузовский скит,"religion,monasteries,interesting_places",55.340107,42.827515,,
Храм Благовещения Пресвятой Богородицы,"religion,churches,interesting_places,other_churches",56.203869,43.362007,,
Сормовский парк,"urban_environment,gardens_and_parks,cultural,interesting_places",56.338352,43.856071,,
Блиновский пассаж,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",56.32814,43.988136,,
Шахматный дом (Игорный дом А.И. Троицкого),"architecture,historic_architecture,interesting_places,other_buildings_and_structures",56.325016,44.011173,,
Рекорд,"cultural,cinemas,theatres_and_entertainments,interesting_places",56.323887,44.00481,,
Нижегородская государственная консерватория им. М.И. Глинки,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",56.327446,44.012947,,
Церковь Рождества Иоана Предтечи,"religion,churches,interesting_places,other_churches",56.329777,43.998135,,
Спасо-Преображенский мужской монастырь,"religion,monasteries,interesting_places",55.38501,43.818497,,
Коромыслова башня,"towers,architecture,interesting_places,other_towers",56.325813,43.998951,,
Усадьба Добролюбовых,"cultural,museums,interesting_places,other_museums",56.322536,43.99844,,
Борисоглебская башня,"towers,architecture,fortifications,historic,interesting_places,other_towers,fortified_towers",56.330738,44.006256,,
Дом-музей Добролюбова,"national_museums,biographical_museums,cultural,museums,interesting_places,history_museums",56.322746,43.998371,,
Дом Сироткина,"cultural,museums,interesting_places,other_museums",56.329269,44.012966,,
Спасский староярмарочный кафедральный собор,"religion,cathedrals,churches,interesting_places,eastern_orthodox_churches",56.331402,43.953976,,
Храм Благовещения Пресвятой Богородицы,"religion,churches,interesting_places,eastern_orthodox_churches",56.203869,43.361965,,
Георгиевская башня,"towers,architecture,fortifications,historic,interesting_places,other_towers,fortified_towers",56.330097,44.008911,,
Церковь Николая Чудотворца,"religion,other_temples,interesting_places",55.385765,43.814701,,
Церковь Покрова Пресвятой Богородицы,"religion,other_temples,interesting_places",56.648006,43.476429,,
Локомотив,"sport,architecture,historic_architecture,interesting_places,stadiums,other_buildings_and_structures",56.309647,43.929649,,
Крестовоздвиженский монастырь,"religion,monasteries,interesting_places",56.307186,43.981781,,
Доходный дом купчихи П. Е. Кубаревой,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",56.324112,43.977024,,
Чкаловская лестница,"historic,monuments_and_memorials,interesting_places,monuments",56.330681,44.009453,,
Администрация Нижнего Новгорода,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",56.329159,44.005398,,
Белая башня,"towers,architecture,interesting_places,other_towers",56.330524,44.001812,,
Дом Советов,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",56.328762,44.005836,,
Пороховая башня,"towers,architecture,interesting_places,other_towers",56.328491,44.007252,,
Чкаловская лестница ,"historic,monuments_and_memorials,interesting_places,monuments",56.330471,44.009426,,
Чкаловская лестница,"historic,monuments_and_memorials,interesting_places,monuments",56.330479,44.009453,,
Церковь во имя Всемилостивейшего Спаса,"religion,churches,interesting_places,eastern_orthodox_churches",56.31905,44.024475,,
Храм Живоначальной Троицы,"religion,churches,interesting_places,eastern_orthodox_churches",56.308556,44.046577,,
Церковь в честь Преображения Господня,"religion,other_temples,interesting_places",56.318909,44.072117,,
Макарьевский монастырь,"religion,monasteries,interesting_places",56.083431,45.064526,,
Музей науки «Нижегородская радиолаборатория»,"cultural,museums,science_museums,interesting_places",56.329411,44.013882,,
Крестовоздвиженский собор,"religion,monasteries,interesting_places",56.307251,43.982094,,
Губернаторский сад,"urban_environment,gardens_and_parks,cultural,interesting_places",56.329803,44.005272,,
М. Горькому,"historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments",56.31348,43.990711,,
Кладовая башня,"towers,architecture,fortifications,historic,interesting_places,other_towers,fortified_towers",56.326359,44.003525,,
Спасо-преображенский собор,"religion,churches,interesting_places,other_churches",56.349922,43.872032,,
Церковь во имя Всемирлостивейшего Спаса,"religion,churches,interesting_places,eastern_orthodox_churches",56.319065,44.024479,,
Церковь во имя Святого Пророка Божия Илии,"religion,churches,interesting_places,eastern_orthodox_churches",56.328205,43.993713,,
Зачатьевская башня,"towers,architecture,fortifications,historic,cultural,museums,interesting_places,other_museums,other_towers,fortified_towers",56.33083,44.003357,,
Успенский,"religion,historical_places,historic,monasteries,interesting_places,historic_settlements",57.397499,43.919445,,
Здание Удельной конторы,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",56.325153,44.021175,,
Троицкая церковь (Арефино),"religion,churches,interesting_places,other_churches",55.873299,42.8657,,
